ID,Target
ID_L7RNFK5JC9,0
ID_KUTY5K1G5F,0
ID_H6PJWKU831,0
ID_DNQXNVTXHE,0
ID_8CRTF1BJOD,1
ID_64UNYP0YRV,1
ID_95RLFN8W6P,0
ID_U9FLCVO4L7,1
ID_MNP4PY97YF,0
ID_LVPPC2KF9A,1
ID_HQ1ZN2PNUV,0
ID_5M8OEEAEGN,0
ID_LGSMO0LHZU,1
ID_03JBCD6R11,0
ID_LFCKD1ZAWN,0
ID_PI63Q7WWFJ,0
ID_5QVPEZS90M,1
ID_6M5NFOBR69,1
ID_3I3D85I2V9,0
ID_RGDP6HDWVT,1
ID_HCB28H4FSO,0
ID_NTX1NV8N3Q,1
ID_II6FBCZTLT,0
ID_3CNCD8D6G7,1
ID_OVTJTSU3ID,0
ID_QZU5T2QCA3,1
ID_02B4N8PCZF,0
ID_LKG843ONK7,1
ID_EJAXKLS8EA,1
ID_DBW0WDD5MJ,1
ID_44AQOOMAW3,1
ID_R2L7314HHL,0
ID_DEDH0YUL3W,1
ID_Y6H4C5FVJI,0
ID_ZOXXOHZXEW,0
ID_XMH7PWAVF5,0
ID_FS9GNE6QK6,1
ID_N0N789VJ2K,1
ID_8VCJ71LHTY,0
ID_6R3GP67KBG,1
ID_RCEVM497YR,1
ID_QQ9KM0QH83,0
ID_AV34GR0FQ7,0
ID_YRIAXWLVA2,0
ID_4CVDFMXBSU,0
ID_C7SXBU9U32,0
ID_DM2X61HMCX,0
ID_ZJMAVY6F1X,0
ID_8CIXK9QQX5,0
ID_ED4Z9MV3UM,1
ID_Z5DNOG8IGB,1
ID_FXHMHJHGWB,1
ID_6QBWA8NUEJ,0
ID_810ZMXC6UW,1
ID_Z59HJVRMF2,0
ID_CKM7QX3N63,1
ID_9BPN1NCFLC,0
ID_Q4OS392YJL,1
ID_T187OYBULF,0
ID_WW7LZILBC1,0
ID_6BW4KLRM54,0
ID_5BPRANL1WO,0
ID_9AWZGB4NJA,1
ID_HUNRB3IWK9,0
ID_BUSQI42CQJ,0
ID_14JZWY5JF5,1
ID_847SL4E5OU,0
ID_WGRTYR9K27,1
ID_KKTFB04673,0
ID_9YQXJC1C26,1
ID_74LYFXAX6P,1
ID_W8G5QH9ANM,0
ID_5IZN3L3F2O,0
ID_QVLNI7J1JR,1
ID_V3BZC2A4MT,0
ID_QAM1TGD3BN,0
ID_C2410AOKQ3,0
ID_L4LHGZZYAA,0
ID_64V3G1EM7K,1
ID_OP1SQL5U0W,1
ID_XOA26YDSHV,0
ID_EPNVVAQ1CS,1
ID_PHB09KG8SW,0
ID_XD7ERU2NE8,0
ID_UYI3CGBMV3,0
ID_3E66RBQWU0,1
ID_FDBXLRBPWH,1
ID_IUCRBF7Q1S,0
ID_2Y3IHN5DR4,1
ID_ZFMW4IVOWS,1
ID_O9N1XN25M9,0
ID_C1ZXCC65YX,1
ID_PJCRZR8ZB4,0
ID_0HZW8W4FK3,1
ID_004T66GVNP,1
ID_7CGIPUZR0P,0
ID_4BFBJ3IZTL,0
ID_A9APM2G6FE,0
ID_VXYBFYK9BT,1
ID_NAD4Y3BKEI,1
ID_Z60G7YIE47,0
ID_BD1S3NGWWD,1
ID_M59FP8Z20P,1
ID_A908A7I9QV,0
ID_GCJKHDSENI,1
ID_7Z14CB6GFH,0
ID_7UKG84AVHQ,0
ID_0CW7KZK3GW,0
ID_04R3DB2WWB,1
ID_668Z1SOGCD,1
ID_RZNCB2IMP8,0
ID_NL9A5C7SFS,0
ID_C87V0UZ40R,0
ID_26WHW3F7WQ,0
ID_MO2ODJFVIA,0
ID_UZUUGBTQNO,1
ID_4APM9F2AYI,0
ID_G5MTEV8YYK,0
ID_V3ECPS8IJJ,1
ID_HKDDE0DI2F,0
ID_5ZU1L8LDJ6,1
ID_NZL6J6FDIY,0
ID_SPSTYZGQWV,1
ID_OICF8M6EMP,1
ID_2OMOE48Q70,1
ID_FNALPKX464,0
ID_DDAP7T5HS4,0
ID_JQ83JX41ZR,1
ID_6D9NC3UJQP,0
ID_304VDABR4A,0
ID_0NAF9RAY6O,0
ID_ZT8MDOKFYD,0
ID_7FFOXKBELZ,1
ID_FH7WPT4G4L,1
ID_BS6BGSQ73N,1
ID_QABPQX1HUB,1
ID_BWMK7W6U4T,0
ID_8Z6SO9EUEQ,0
ID_GK7TOSQXH5,1
ID_ZIXM6MR3XJ,1
ID_J8WZ5DZ87P,1
ID_STST7AYNVO,0
ID_Y9G6MUWHQK,0
ID_2SNEJ2D4LA,1
ID_17NH7LYJFM,1
ID_KYG5E43G90,0
ID_QVAKSNHOON,1
ID_D95AAHGPC3,0
ID_07QTV0FBV7,0
ID_XCUZ2A2PWW,0
ID_CCTF1HGBIY,0
ID_1TEAUYRI76,1
ID_R2FN1J2EWV,0
ID_9XR1QNF9GM,0
ID_FAMX4Y7RZL,0
ID_BDGWOOIFDF,0
ID_AIXF58VQGL,0
ID_AAEY31JAP8,1
ID_25A2OV74AS,1
ID_8YT4ZBNPK0,0
ID_OVIWM88HK2,1
ID_0ZM3363LOY,1
ID_BEJ81BHXFC,1
ID_23UXHCK7XP,1
ID_IT5D10R53I,0
ID_SGVBQIW69Y,0
ID_6Z4H2G0G62,1
ID_25N8D097TN,0
ID_AYH38Q5KRU,0
ID_LJ3AFMNQAF,1
ID_TC73AFS7XY,1
ID_LCM4JMX9BC,0
ID_DQRG75SWIZ,0
ID_BWI78EKWQ6,1
ID_1GLF5TLRPJ,0
ID_TLKBMO0X1Z,1
ID_NWXY1ZG09O,1
ID_CSMX31D0D1,0
ID_YJWENAU8NL,1
ID_JX6A3JJ5HQ,1
ID_GH9A6Z69VO,1
ID_KV5UCHWTE8,1
ID_GWR4IATJU4,0
ID_WB18BP2PH8,0
ID_YOO9XJXA5C,0
ID_IO0L87SZQX,1
ID_PTKY7RIYDS,0
ID_PPXDYU8B41,0
ID_N3GNAYBMBJ,1
ID_BLDR937IYR,1
ID_CUK6ULYR8R,1
ID_FY2TMIP5UM,0
ID_Z3CK65SEU7,1
ID_3J38X51OGN,0
ID_T8M24CS2J2,0
ID_VC8VD22RGS,0
ID_TFS0EGQI6M,1
ID_YLAYTYBN6E,0
ID_VV51WDQZMN,0
ID_GT7C2RLBP8,0
ID_JY9E0SG4AM,0
ID_O529NBD67A,0
ID_T7YPBPIEPU,1
ID_FLCCQHSA7Y,0
ID_W7109EDDLC,1
ID_XBLNQB93NQ,1
ID_WPPSMR6N5X,0
ID_T6Z1W74OIU,0
ID_M98FGWPLZZ,1
ID_YUQTNVWAEU,0
ID_C9DP8FL9MA,0
ID_8JI9NLTP85,0
ID_SAT1L1L7LH,1
ID_4RQRV7XN3E,1
ID_ZYCPROLILK,0
ID_NQDQIQDU76,1
ID_422OSQCP0C,0
ID_8WI60SAD4M,0
ID_UUBLFHUVQT,0
ID_0Y2B1417AH,0
ID_OOBW23URTE,1
ID_1H2PHCDWLX,0
ID_9R70ZA7QNA,1
ID_NZFFMDW2FK,0
ID_B06DOJ4TS4,0
ID_4WGDJEPZLL,1
