iter	Passed	Remaining
0	9	9840
1	18	9171
2	28	9502
3	37	9369
4	49	9875
5	61	10247
6	71	10097
7	81	10081
8	89	9801
9	97	9623
10	104	9421
11	113	9351
12	122	9327
13	131	9287
14	140	9204
15	148	9158
16	157	9133
17	170	9289
18	180	9322
19	188	9217
20	197	9195
21	205	9148
22	214	9090
23	223	9098
24	232	9074
25	242	9078
26	251	9056
27	263	9147
28	274	9197
29	282	9150
30	291	9113
31	298	9031
32	307	9019
33	316	8984
34	325	8964
35	334	8964
36	342	8918
37	351	8887
38	359	8849
39	367	8810
40	374	8770
41	384	8769
42	391	8712
43	399	8674
44	406	8622
45	416	8642
46	425	8627
47	434	8615
48	444	8619
49	454	8631
50	463	8616
51	473	8637
52	484	8659
53	492	8631
54	500	8605
55	508	8563
56	519	8587
57	529	8599
58	538	8595
59	548	8590
60	555	8558
61	564	8541
62	572	8512
63	581	8509
64	589	8485
65	598	8466
66	607	8466
67	617	8458
68	625	8436
69	634	8433
70	644	8439
71	652	8406
72	663	8420
73	670	8393
74	680	8393
75	691	8405
76	700	8395
77	710	8392
78	718	8377
79	727	8369
80	736	8351
81	745	8348
82	752	8317
83	761	8307
84	768	8275
85	776	8255
86	784	8231
87	793	8220
88	800	8190
89	808	8177
90	815	8147
91	825	8149
92	833	8124
93	842	8123
94	849	8096
95	859	8092
96	867	8075
97	875	8058
98	885	8063
99	898	8090
100	907	8080
101	916	8065
102	926	8064
103	938	8083
104	950	8101
105	963	8123
106	976	8153
107	989	8175
108	1001	8184
109	1013	8199
110	1026	8222
111	1039	8240
112	1051	8250
113	1059	8235
114	1068	8224
115	1075	8198
116	1085	8189
117	1092	8166
118	1102	8162
119	1112	8155
120	1119	8133
121	1126	8109
122	1134	8085
123	1141	8065
124	1150	8050
125	1157	8025
126	1164	8003
127	1171	7982
128	1179	7966
129	1187	7948
130	1195	7933
131	1203	7916
132	1211	7896
133	1218	7874
134	1224	7848
135	1232	7828
136	1240	7813
137	1247	7792
138	1254	7772
139	1261	7747
140	1268	7727
141	1277	7719
142	1284	7700
143	1294	7696
144	1306	7702
145	1312	7679
146	1321	7667
147	1329	7653
148	1336	7634
149	1343	7614
150	1351	7599
151	1359	7582
152	1365	7561
153	1373	7545
154	1380	7524
155	1387	7508
156	1396	7496
157	1403	7480
158	1411	7463
159	1418	7444
160	1427	7437
161	1434	7421
162	1443	7411
163	1450	7393
164	1458	7380
165	1465	7360
166	1474	7354
167	1481	7337
168	1491	7332
169	1498	7317
170	1510	7324
171	1521	7322
172	1528	7307
173	1538	7301
174	1545	7285
175	1554	7278
176	1562	7266
177	1571	7255
178	1580	7247
179	1588	7235
180	1595	7219
181	1604	7211
182	1611	7195
183	1620	7185
184	1627	7169
185	1635	7157
186	1643	7144
187	1652	7138
188	1660	7126
189	1668	7112
190	1675	7096
191	1683	7086
192	1690	7070
193	1701	7068
194	1708	7054
195	1718	7048
196	1728	7045
197	1737	7036
198	1744	7020
199	1752	7009
200	1762	7005
201	1771	6997
202	1780	6988
203	1787	6974
204	1795	6961
205	1803	6951
206	1811	6939
207	1818	6925
208	1826	6911
209	1834	6900
210	1842	6888
211	1850	6877
212	1857	6864
213	1865	6852
214	1872	6838
215	1880	6826
216	1888	6812
217	1895	6801
218	1903	6789
219	1912	6780
220	1919	6765
221	1929	6760
222	1938	6752
223	1947	6747
224	1956	6738
225	1965	6729
226	1972	6715
227	1982	6713
228	1991	6706
229	2000	6696
230	2009	6688
231	2017	6679
232	2026	6670
233	2034	6661
234	2044	6654
235	2051	6641
236	2061	6636
237	2068	6623
238	2077	6614
239	2086	6608
240	2095	6599
241	2104	6590
242	2111	6578
243	2123	6578
244	2131	6569
245	2142	6567
246	2151	6558
247	2159	6548
248	2168	6539
249	2176	6529
250	2186	6525
251	2194	6513
252	2203	6506
253	2212	6498
254	2222	6493
255	2229	6480
256	2238	6472
257	2247	6463
258	2256	6454
259	2264	6446
260	2273	6438
261	2283	6433
262	2291	6421
263	2301	6415
264	2308	6402
265	2319	6399
266	2327	6390
267	2338	6387
268	2347	6380
269	2355	6367
270	2364	6361
271	2373	6352
272	2382	6343
273	2391	6337
274	2400	6327
275	2407	6314
276	2416	6308
277	2424	6295
278	2433	6288
279	2443	6283
280	2453	6278
281	2461	6268
282	2470	6259
283	2480	6252
284	2487	6239
285	2495	6231
286	2504	6221
287	2513	6213
288	2521	6203
289	2532	6199
290	2541	6192
291	2555	6195
292	2563	6185
293	2572	6178
294	2580	6168
295	2591	6163
296	2599	6152
297	2609	6148
298	2616	6134
299	2624	6124
300	2633	6114
